Date,PX_LAST,Change,% Change,PX_OPEN,Change,% Change,PX_HIGH,Change,% Change,PX_LOW,Change,% Change
2/3/26,686.38,0.39,0.056852141,678.7,-7.29,-1.062697707,688.62,2.63,0.383387513,678.02,-7.97,-1.161824516
27/2/26,685.99,-3.31,-0.480197302,683.09,-6.21,-0.900913971,686.86,-2.44,-0.353982301,681.64,-7.66,-1.111272305
26/2/26,689.3,-3.85,-0.555435331,693.28,0.13,0.018754959,693.3,0.15,0.021640338,684.35,-8.8,-1.269566472
25/2/26,693.15,5.8,0.84382047,690.18,2.83,0.411726195,693.68,6.33,0.920928203,690.1,2.75,0.400087292
24/2/26,687.35,4.96,0.726857076,681.9,-0.49,-0.071806445,688.35,5.96,0.873400841,680,-2.39,-0.350239599
23/2/26,682.39,-7.04,-1.0211334,687.83,-1.6,-0.232075773,690,0.57,0.082676994,680.371,-9.059,-1.313984016
20/2/26,689.43,4.95,0.723176718,682.32,-2.16,-0.315568022,690.06,5.58,0.815217391,681.73,-2.75,-0.401764843
19/2/26,684.48,-1.81,-0.263736904,683.84,-2.45,-0.356991942,686.18,-0.11,-0.01602821,681.5475,-4.7425,-0.691034402
18/2/26,686.29,3.44,0.50377096,684.02,1.17,0.171340704,689.15,6.3,0.922603793,682.83,-0.02,-0.002928901
17/2/26,682.85,1.1,0.161349468,680.14,-1.61,-0.236156949,684.94,3.19,0.467913458,675.78,-5.97,-0.875687569
13/2/26,681.75,0.48,0.070456647,681.69,0.42,0.061649566,686.28,5.01,0.735391255,677.52,-3.75,-0.550442556
12/2/26,681.27,-10.69,-1.544886988,694.24,2.28,0.329498815,695.35,3.39,0.489912712,680.37,-11.59,-1.674952309
11/2/26,691.96,-0.16,-0.023117378,696.39,4.27,0.616945038,697.14,5.02,0.72530775,689.18,-2.94,-0.42478183
10/2/26,692.12,-1.83,-0.26370776,694.95,1,0.144102601,696.54,2.59,0.373225737,691.66,-2.29,-0.329994956
9/2/26,693.95,3.33,0.482175437,689.42,-1.2,-0.173756914,695.87,5.25,0.760186499,688.34,-2.28,-0.330138137
6/2/26,690.62,13,1.918479384,681.46,3.84,0.566689295,692.31,14.69,2.167881704,680.85,3.23,0.476668339
5/2/26,677.62,-8.57,-1.248925225,680.94,-5.25,-0.765094216,683.69,-2.5,-0.364330579,675.79,-10.4,-1.515615209
4/2/26,686.19,-3.34,-0.484387916,690.35,0.82,0.118921584,691.45,1.92,0.278450539,681.76,-7.77,-1.126854524
3/2/26,689.53,-5.88,-0.845544355,696.21,0.8,0.115040048,696.96,1.55,0.222890094,684.03,-11.38,-1.636444687
2/2/26,695.41,3.44,0.497131379,689.58,-2.39,-0.345390696,696.93,4.96,0.716794081,689.425,-2.545,-0.367790511
30/1/26,691.97,-2.07,-0.298253703,691.79,-2.25,-0.324188808,694.21,0.17,0.024494265,687.12,-6.92,-0.997060688
29/1/26,694.04,-1.38,-0.19844123,696.39,0.97,0.139484053,697.06,1.64,0.235828708,684.83,-10.59,-1.522820741
28/1/26,695.42,-0.07,-0.010064846,697.05,1.56,0.22430229,697.84,2.35,0.337891271,693.94,-1.55,-0.222864455
27/1/26,695.49,2.76,0.398423628,694.18,1.45,0.209316761,696.53,3.8,0.548554271,693.57,0.84,0.121259365
26/1/26,692.73,3.5,0.507813067,690.49,1.26,0.182812704,694.13,4.9,0.710938293,689.92,0.69,0.100111719
23/1/26,689.23,0.25,0.036285524,688.15,-0.83,-0.120467938,690.96,1.98,0.287381346,687.16,-1.82,-0.264158611
22/1/26,688.98,3.58,0.522322731,689.85,4.45,0.649255909,691.125,5.725,0.835278669,686.92,1.52,0.22176831
21/1/26,685.4,7.82,1.154107264,679.65,2.07,0.305498982,688.735,11.155,1.646300068,678.13,0.55,0.081171227
20/1/26,677.58,-14.08,-2.035682272,681.49,-10.17,-1.470375618,684.77,-6.89,-0.99615418,676.57,-15.09,-2.181707775
16/1/26,691.66,-0.58,-0.08378597,693.66,1.42,0.205131168,694.25,2.01,0.290361724,690.1,-2.14,-0.309141338
15/1/26,692.24,1.88,0.272321687,694.57,4.21,0.609826757,695.45,5.09,0.737296483,691.25,0.89,0.128918246
14/1/26,690.36,-3.41,-0.491517362,691,-2.77,-0.399267769,691.72,-2.05,-0.295486977,686.04,-7.73,-1.114202113
13/1/26,693.77,-1.39,-0.199953967,695.49,0.33,0.047471086,696.09,0.93,0.133782151,691.35,-3.81,-0.548075263
12/1/26,695.16,1.09,0.157044678,690.68,-3.39,-0.488423358,696.09,2.02,0.291036927,690.63,-3.44,-0.495627242
9/1/26,694.07,4.56,0.661339212,690.63,1.12,0.162434192,695.31,5.8,0.841177068,689.18,-0.33,-0.047860075
8/1/26,689.51,-0.07,-0.010151106,688.82,-0.76,-0.110212013,690.615,1.035,0.15009136,687.49,-2.09,-0.303083036
7/1/26,689.58,-2.23,-0.32234284,692.19,0.38,0.054928376,693.96,2.15,0.310778971,689.32,-2.49,-0.359925413
6/1/26,691.81,4.09,0.594718781,687.93,0.21,0.030535683,692.315,4.595,0.668149828,687.78,0.06,0.008724481
5/1/26,687.72,4.55,0.666012852,686.54,3.37,0.49328864,689.43,6.26,0.916316583,686.375,3.205,0.469136525
2/1/26,683.17,1.25,0.18330596,685.71,3.79,0.55578367,686.87,4.95,0.7258916,679.82,-2.1,-0.307954012
31/12/25,681.92,-5.09,-0.74089169,687.14,0.13,0.018922578,687.36,0.35,0.050945401,681.71,-5.3,-0.771458931
30/12/25,687.01,-0.84,-0.122119648,687.445,-0.405,-0.058879116,688.555,0.705,0.102493276,686.58,-1.27,-0.184633278
29/12/25,687.85,-2.46,-0.356361635,687.54,-2.77,-0.401268995,689.2,-1.11,-0.160797323,686.07,-4.24,-0.614216801
26/12/25,690.31,-0.07,-0.010139344,690.64,0.26,0.037660419,691.66,1.28,0.185405139,689.27,-1.11,-0.160781019
24/12/25,690.38,2.42,0.351764637,687.95,-0.01,-0.001453573,690.83,2.87,0.417175417,687.8,-0.16,-0.023257166
23/12/25,687.96,3.13,0.457047734,683.92,-0.91,-0.132879693,688.2,3.37,0.492092928,683.87,-0.96,-0.140180775
22/12/25,684.83,4.24,0.622988877,683.94,3.35,0.492219986,685.36,4.77,0.700862487,680.5868,-0.0032,-0.00047018
19/12/25,680.59,4.12,0.609044008,676.59,0.12,0.017739146,681.09,4.62,0.682957116,676.47,0,0
18/12/25,676.47,5.07,0.755138517,677.6,6.2,0.923443551,680.74,9.34,1.391123027,674.9,3.5,0.521298779
17/12/25,671.4,-7.47,-1.100357948,679.89,1.02,0.15024968,680.435,1.565,0.230530146,671.195,-7.675,-1.130555187
16/12/25,678.87,-1.86,-0.273236085,679.23,-1.5,-0.220351681,681.08,0.35,0.051415392,674.98,-5.75,-0.844681445
15/12/25,680.73,-1.03,-0.151079559,685.74,3.98,0.583783149,685.76,4,0.586716733,679.25,-2.51,-0.36816475
12/12/25,681.76,-7.41,-1.075206408,688.17,-1,-0.145102079,688.88,-0.29,-0.042079603,679.1744,-9.9956,-1.450382344
11/12/25,689.17,1.6,0.232703579,685.14,-2.43,-0.353418561,689.25,1.68,0.244338758,682.165,-5.405,-0.786101779
10/12/25,687.57,4.53,0.663211525,682.56,-0.48,-0.070274069,688.97,5.93,0.868177559,681.31,-1.73,-0.253279457
9/12/25,683.04,-0.59,-0.086303995,683.15,-0.48,-0.07021342,685.385,1.755,0.256717815,682.59,-1.04,-0.152129076
8/12/25,683.63,-2.06,-0.300427307,686.59,0.9,0.131254649,686.64,0.95,0.138546574,681.57,-4.12,-0.600854614
5/12/25,685.69,1.3,0.189950175,685.47,1.08,0.15780476,688.39,4,0.584462076,684.58,0.19,0.027761949
4/12/25,684.39,0.5,0.073111173,685.3,1.41,0.206173507,685.37,1.48,0.216409072,681.34,-2.55,-0.372866982
3/12/25,683.89,2.36,0.346279694,680.57,-0.96,-0.140859537,684.91,3.38,0.495942952,679.69,-1.84,-0.269980779
2/12/25,681.53,1.26,0.185220574,681.92,1.65,0.242550752,683.82,3.55,0.521851618,679.3275,-0.9425,-0.138547929
1/12/25,680.27,-3.12,-0.456547506,678.81,-4.58,-0.670188326,682.99,-0.4,-0.058531732,678.74,-4.65,-0.680431379
28/11/25,683.39,3.71,0.545845104,680.86,1.18,0.173611111,683.665,3.985,0.58630532,680.5,0.82,0.120645009
26/11/25,679.68,4.66,0.690349916,677.63,2.61,0.38665521,681.7,6.68,0.989600308,676.72,1.7,0.25184439
25/11/25,675.02,6.29,0.940588877,668.63,-0.1,-0.014953718,676.21,7.48,1.118538125,664.48,-4.25,-0.635533025
24/11/25,668.73,9.7,1.471860158,662.69,3.66,0.555361668,670.06,11.03,1.673671912,661.59,2.56,0.388449691
21/11/25,659.03,6.5,0.996122784,655.05,2.52,0.386189141,664.55,12.02,1.842060901,650.85,-1.68,-0.257459427
20/11/25,652.53,-10.1,-1.524229208,672.91,10.28,1.551393689,675.56,12.93,1.951315214,651.89,-10.74,-1.620814029
19/11/25,662.63,2.55,0.38631681,660.78,0.7,0.106047752,667.34,7.26,1.099866683,658.745,-1.335,-0.202248212
18/11/25,660.08,-5.59,-0.839755434,662.095,-3.575,-0.537052894,665.12,-0.55,-0.082623522,655.86,-9.81,-1.473703186
17/11/25,665.67,-6.26,-0.931644665,669.7,-2.23,-0.331879809,673.71,1.78,0.264908547,662.17,-9.76,-1.452532258
14/11/25,671.93,-0.11,-0.016368073,665.38,-6.66,-0.99101244,675.66,3.62,0.538658413,663.265,-8.775,-1.30572585
13/11/25,672.04,-11.34,-1.65939887,680.5,-2.88,-0.421434634,680.86,-2.52,-0.368755305,670.52,-12.86,-1.881822705
12/11/25,683.38,0.38,0.055636896,684.79,1.79,0.262079063,684.96,1.96,0.286969253,680.945,-2.055,-0.300878477
11/11/25,683,1.56,0.228926978,679.95,-1.49,-0.218654614,683.57,2.13,0.312573374,678.73,-2.71,-0.397687251
10/11/25,681.44,10.47,1.560427441,677.235,6.265,0.933722819,682.18,11.21,1.670715531,675.03,4.06,0.605094117
7/11/25,670.97,0.66,0.098461906,667.91,-2.4,-0.358043293,671.08,0.77,0.114872223,661.205,-9.105,-1.358326744
6/11/25,670.31,-7.27,-1.072936037,676.47,-1.11,-0.163818295,677.38,-0.2,-0.02951681,668.72,-8.86,-1.307594675
5/11/25,677.58,2.34,0.346543451,674.98,-0.26,-0.038504828,680.86,5.62,0.832296665,674.17,-1.07,-0.158462176
4/11/25,675.24,-8.1,-1.185354289,676.11,-7.23,-1.058038458,679.96,-3.38,-0.494629321,674.58,-8.76,-1.281938713
3/11/25,683.34,1.28,0.187666774,685.67,3.61,0.529278949,685.8,3.74,0.548338856,679.94,-2.12,-0.310823095
31/10/25,682.06,2.23,0.328023182,685.04,5.21,0.766368063,685.08,5.25,0.772251887,679.24,-0.59,-0.086786402
30/10/25,679.83,-7.56,-1.099812334,683.9,-3.49,-0.507717598,685.94,-1.45,-0.210942842,679.83,-7.56,-1.099812334
29/10/25,687.39,0.33,0.04803074,688.72,1.66,0.241609175,689.7,2.64,0.384245917,682.87,-4.19,-0.609844846
28/10/25,687.06,1.82,0.265600374,687.05,1.81,0.264141031,688.905,3.665,0.534849104,684.83,-0.41,-0.059833051
27/10/25,685.24,7.99,1.179771133,682.73,5.48,0.80915467,685.54,8.29,1.224067922,682.115,4.865,0.718346253
24/10/25,677.25,5.49,0.817256163,676.46,4.7,0.699654639,678.47,6.71,0.998868644,675.65,3.89,0.57907586
23/10/25,671.76,3.96,0.592991914,668.12,0.32,0.047918538,672.7101,4.9101,0.735265049,667.8,0,0
22/10/25,667.8,-3.49,-0.519894531,672,0.71,0.105766509,672,0.71,0.105766509,663.3,-7.99,-1.190245646
21/10/25,671.29,-0.01,-0.001489647,671.44,0.14,0.020855057,672.99,1.69,0.251750335,669.981,-1.319,-0.196484433
20/10/25,671.3,6.91,1.040051777,667.32,2.93,0.441006036,672.21,7.82,1.177019522,667.27,2.88,0.433480335
17/10/25,664.39,3.75,0.567631388,659.5,-1.14,-0.172559942,665.755,5.115,0.774249213,658.14,-2.5,-0.378420925
16/10/25,660.64,-4.53,-0.68102891,666.82,1.65,0.248056888,668.71,3.54,0.532194777,657.11,-8.06,-1.211720312
15/10/25,665.17,2.94,0.443954517,666.82,4.59,0.693112665,670.23,8,1.208039503,658.93,-3.3,-0.498316295
14/10/25,662.23,-0.81,-0.122164575,657.17,-5.87,-0.88531612,665.83,2.79,0.420789093,653.17,-9.87,-1.488597973
13/10/25,663.04,10.02,1.53440936,660.65,7.63,1.168417506,665.13,12.11,1.854460813,659.7679,6.7479,1.033337417
10/10/25,653.02,-18.14,-2.702783241,672.13,0.97,0.144525895,673.95,2.79,0.415698194,652.84,-18.32,-2.729602479
9/10/25,671.16,-1.95,-0.289700049,673.53,0.42,0.062396934,673.94,0.83,0.123308226,669.21,-3.9,-0.579400098
8/10/25,673.11,3.99,0.596305595,670.25,1.13,0.168878527,673.2056,4.0856,0.610593018,669.42,0.3,0.044835007
7/10/25,669.12,-2.49,-0.370750882,672.54,0.93,0.138473221,672.99,1.38,0.205476393,667.67,-3.94,-0.58664999
6/10/25,671.61,2.4,0.35863182,671.62,2.41,0.360126119,672.51,3.3,0.493118752,669.455,0.245,0.036610332
3/10/25,669.21,-0.01,-0.001494277,669.99,0.77,0.115059323,672.675,3.455,0.516272676,668.16,-1.06,-0.158393353
2/10/25,669.22,0.77,0.115191862,670.45,2,0.299199641,670.565,2.115,0.31640362,666.78,-1.67,-0.2498317
1/10/25,668.45,2.27,0.340748747,663.17,-3.01,-0.451829836,669.37,3.19,0.47884956,663.06,-3.12,-0.46834189
30/9/25,666.18,2.5,0.37668756,662.93,-0.75,-0.113006268,666.65,2.97,0.447504822,661.61,-2.07,-0.3118973
29/9/25,663.68,1.86,0.281043184,664.36,2.54,0.383790154,665.28,3.46,0.522800762,661.86,0.04,0.006043939
26/9/25,661.82,3.77,0.572904794,659.51,1.46,0.221867639,662.37,4.32,0.65648507,657.88,-0.17,-0.025833903
25/9/25,658.05,-3.05,-0.461352292,657.94,-3.16,-0.477991227,659.4056,-1.6944,-0.256300106,654.405,-6.695,-1.012706096
24/9/25,661.1,-2.11,-0.318149606,664.51,1.3,0.196016345,664.61,1.4,0.211094525,659.67,-3.54,-0.533767585
23/9/25,663.21,-3.63,-0.544358467,666.72,-0.12,-0.017995321,667.34,0.5,0.074980505,661.98,-4.86,-0.728810509
22/9/25,666.84,3.14,0.473105319,662.2,-1.5,-0.226005725,667.29,3.59,0.540907036,662.17,-1.53,-0.23052584
19/9/25,663.7,1.44,0.21743726,662.33,0.07,0.010569867,664.55,2.29,0.345785643,660.37,-1.89,-0.285386404
18/9/25,662.26,3.08,0.467247186,661.89,2.71,0.411116842,664.89,5.71,0.866227737,660.27,1.09,0.165356959
17/9/25,659.18,-0.82,-0.124242424,660.01,0.01,0.001515152,661.72,1.72,0.260606061,654.3,-5.7,-0.863636364
16/9/25,660,-0.91,-0.137688944,661.47,0.56,0.084731658,661.78,0.87,0.131636683,659.21,-1.7,-0.257221104
15/9/25,660.91,3.5,0.532392267,659.64,2.23,0.33920993,661.04,3.63,0.552166837,659.34,1.93,0.293576307
12/9/25,657.41,-0.22,-0.033453462,657.6,-0.03,-0.004561836,659.11,1.48,0.22505056,656.9,-0.73,-0.111004668
11/9/25,657.63,5.42,0.831020684,654.18,1.97,0.302049953,658.33,6.12,0.938348078,653.59,1.38,0.211588292
10/9/25,652.21,1.88,0.289084004,653.62,3.29,0.505897006,654.55,4.22,0.648901327,650.63,0.3,0.046130426
9/9/25,650.33,1.5,0.231185364,648.97,0.14,0.021577301,650.86,2.03,0.31287086,647.22,-1.61,-0.248138958
8/9/25,648.83,1.59,0.245658488,648.62,1.38,0.213213028,649.84,2.6,0.401705704,647.23,-0.01,-0.001545022
5/9/25,647.24,-1.88,-0.289622874,651.48,2.36,0.36356914,652.21,3.09,0.476029086,643.33,-5.79,-0.89197683
4/9/25,649.12,5.38,0.835741138,644.42,0.68,0.105632709,649.15,5.41,0.840401404,643.51,-0.23,-0.03572871
3/9/25,643.74,3.47,0.541958861,642.67,2.4,0.374841864,644.21,3.94,0.615365393,640.46,0.19,0.029674981
2/9/25,640.27,-4.78,-0.741027827,637.5,-7.55,-1.170451903,640.49,-4.56,-0.706921944,634.92,-10.13,-1.570420898
29/8/25,645.05,-3.87,-0.596375516,647.47,-1.45,-0.223448191,647.84,-1.08,-0.166430377,643.14,-5.78,-0.890710719
28/8/25,648.92,2.29,0.354143792,647.24,0.61,0.094335246,649.48,2.85,0.44074664,645.34,-1.29,-0.199495848
27/8/25,646.63,1.47,0.227850456,644.57,-0.59,-0.091450183,647.37,2.21,0.342550685,644.42,-0.74,-0.114700229
26/8/25,645.16,2.69,0.418696593,642.2,-0.27,-0.042025309,645.51,3.04,0.473173845,641.57,-0.9,-0.140084362
25/8/25,642.47,-2.84,-0.440098557,644.04,-1.27,-0.196804637,645.29,-0.02,-0.003099286,642.35,-2.96,-0.458694271
22/8/25,645.31,9.76,1.535677759,637.76,2.21,0.347730312,646.5,10.95,1.722917158,637.25,1.7,0.267484856
21/8/25,635.55,-2.56,-0.401184749,636.28,-1.83,-0.28678441,637.97,-0.14,-0.021939791,633.81,-4.3,-0.673865008
20/8/25,638.11,-1.7,-0.265703881,639.4,-0.41,-0.064081524,639.66,-0.15,-0.02344446,632.95,-6.86,-1.072193307
19/8/25,639.81,-3.49,-0.542515156,643.12,-0.18,-0.027980724,644.105,0.805,0.125136017,638.48,-4.82,-0.74926162
18/8/25,643.3,-0.14,-0.02175805,642.86,-0.58,-0.090140495,644,0.56,0.087032202,642.18,-1.26,-0.195822454
15/8/25,643.44,-1.51,-0.234126676,645.99,1.04,0.16125281,646.09,1.14,0.176757888,642.5153,-2.4347,-0.377502132
14/8/25,644.95,0.06,0.009303912,642.79,-2.1,-0.32563693,645.62,0.73,0.1131976,642.34,-2.55,-0.395416273
13/8/25,644.89,2.2,0.342311223,644.91,2.22,0.345423143,646.19,3.5,0.544586037,642.68,-0.01,-0.00155596
12/8/25,642.69,6.77,1.064599321,638.29,2.37,0.372688388,642.85,6.93,1.089759718,636.79,0.87,0.136809662
11/8/25,635.92,-1.26,-0.19774632,637.46,0.28,0.043943627,638.95,1.77,0.277786497,634.66,-2.52,-0.395492639
8/8/25,637.18,4.93,0.779754844,634.06,1.81,0.286279162,637.645,5.395,0.8533017,633.74,1.49,0.235666271
7/8/25,632.25,-0.53,-0.083757388,636.24,3.46,0.546793514,636.98,4.2,0.663737792,629.11,-3.67,-0.579980404
6/8/25,632.78,4.81,0.765960157,629.05,1.08,0.171982738,633.44,5.47,0.871060719,628.13,0.16,0.025478924
5/8/25,627.97,-3.2,-0.506994946,631.79,0.62,0.098230271,632.6052,1.4352,0.227387233,627.04,-4.13,-0.654340352
4/8/25,631.17,9.45,1.519976838,625.67,3.95,0.635334234,631.215,9.495,1.527214823,625.58,3.86,0.620858264
1/8/25,621.72,-10.36,-1.639033034,626.3,-5.78,-0.91444121,626.34,-5.74,-0.908112897,619.29,-12.79,-2.023478041
31/7/25,632.08,-2.38,-0.375122151,639.455,4.995,0.787283674,639.85,5.39,0.849541342,630.765,-3.695,-0.58238502
30/7/25,634.46,-0.8,-0.125932689,635.92,0.66,0.103894468,637.68,2.42,0.380946384,631.54,-3.72,-0.585587004
29/7/25,635.26,-1.68,-0.263761108,638.35,1.41,0.22137093,638.67,1.73,0.271611141,634.335,-2.605,-0.408986718
28/7/25,636.94,-0.16,-0.025113797,637.48,0.38,0.059645268,638.04,0.94,0.147543557,635.54,-1.56,-0.24485952
25/7/25,637.1,2.68,0.422433088,635.09,0.67,0.105608272,637.5799,3.1599,0.498076984,634.84,0.42,0.0662022
24/7/25,634.42,0.21,0.033112061,634.6,0.39,0.061493827,636.15,1.94,0.30589237,633.99,-0.22,-0.034688825
23/7/25,634.21,5.35,0.850745794,631.55,2.69,0.427758166,634.21,5.35,0.850745794,629.73,0.87,0.138345578
22/7/25,628.86,0.09,0.01431366,629.1,0.33,0.05248342,629.73,0.96,0.15267904,626.19,-2.58,-0.41032492
21/7/25,628.77,1.19,0.18961726,628.77,1.19,0.18961726,631.54,3.96,0.630995252,628.34,0.76,0.121100099
18/7/25,627.58,-0.46,-0.073243742,629.3,1.26,0.200624164,629.47,1.43,0.227692504,626.46,-1.58,-0.251576333
17/7/25,628.04,3.82,0.611963731,624.4,0.18,0.028835987,628.4048,4.1848,0.670404665,624.18,-0.04,-0.006407997
16/7/25,624.22,2.08,0.334329894,623.74,1.6,0.257176841,624.73,2.59,0.416305012,618.05,-4.09,-0.6574083
15/7/25,622.14,-2.67,-0.427329908,627.52,2.71,0.433731854,627.86,3.05,0.488148397,622.06,-2.75,-0.440133801
14/7/25,624.81,1.19,0.190821334,623.16,-0.46,-0.073762868,625.1581,1.5381,0.246640582,621.7999,-1.8201,-0.291860428
11/7/25,623.62,-2.2,-0.351538781,622.74,-3.08,-0.492154294,624.86,-0.96,-0.153398741,621.53,-4.29,-0.685500623
10/7/25,625.82,1.76,0.282024164,624.2,0.14,0.02243374,626.8701,2.8101,0.450293241,623.01,-1.05,-0.168253053
9/7/25,624.06,3.72,0.599671148,622.77,2.43,0.391720669,624.72,4.38,0.706064416,620.9105,0.5705,0.091965696
8/7/25,620.34,-0.34,-0.05477863,621.35,0.67,0.107946124,622.11,1.43,0.230392473,619.52,-1.16,-0.186891796
7/7/25,620.68,-4.66,-0.745194614,623.36,-1.98,-0.316627755,624.03,-1.31,-0.20948604,617.87,-7.47,-1.194550165
3/7/25,625.34,4.89,0.788137642,622.45,2,0.322346684,626.28,5.83,0.939640583,622.43,1.98,0.319123217
2/7/25,620.45,2.8,0.453331175,617.24,-0.41,-0.066380636,620.49,2.84,0.459807334,616.61,-1.04,-0.168380151
1/7/25,617.65,-0.2,-0.032370316,616.36,-1.49,-0.241158857,618.83,0.98,0.15861455,615.52,-2.33,-0.377114186
30/6/25,617.85,2.94,0.478118749,617.38,2.47,0.401684799,619.22,4.31,0.700915581,615.04,0.13,0.021141305
27/6/25,614.91,3.04,0.496837564,612.88,1.01,0.165067743,616.39,4.52,0.738719009,610.83,-1.04,-0.169970745
26/6/25,611.87,4.75,0.782382396,608.99,1.87,0.308011596,612.31,5.19,0.854855712,608.37,1.25,0.205890104
25/6/25,607.12,0.34,0.056033488,607.91,1.13,0.186228946,608.61,1.83,0.30159201,605.54,-1.24,-0.204357428
24/6/25,606.78,6.63,1.104723819,604.33,4.18,0.696492544,607.8499,7.6999,1.282995918,603.41,3.26,0.543197534
23/6/25,600.15,5.87,0.987749882,595.04,0.76,0.127885845,600.54,6.26,1.053375513,591.89,-2.39,-0.402167329
20/6/25,594.28,-3.16,-0.528923407,598.38,0.94,0.157337975,599.46,2.02,0.338109266,592.86,-4.58,-0.766604178
18/6/25,597.44,-0.09,-0.015062005,598.44,0.91,0.152293609,601.22,3.69,0.617542215,596.47,-1.06,-0.177396951
17/6/25,597.53,-5.15,-0.854516493,600.21,-2.47,-0.409836066,601.75,-0.93,-0.154310745,596.76,-5.92,-0.982279153
16/6/25,602.68,5.68,0.951423786,600.4,3.4,0.569514238,604.45,7.45,1.247906198,600.22,3.22,0.539363484
13/6/25,597,-6.75,-1.118012422,598.5,-5.25,-0.869565217,601.85,-1.9,-0.314699793,595.48,-8.27,-1.369772257
12/6/25,603.75,2.39,0.397432486,600.01,-1.35,-0.224491153,603.75,2.39,0.397432486,599.52,-1.84,-0.305973128
11/6/25,601.36,-1.72,-0.285202627,604.19,1.11,0.184055183,605.06,1.98,0.328314651,599.27,-3.81,-0.631756981
10/6/25,603.08,3.4,0.56696905,600.22,0.54,0.090048026,603.47,3.79,0.632003735,599.09,-0.59,-0.098385806
9/6/25,599.68,0.54,0.090129185,599.72,0.58,0.096805421,601.25,2.11,0.352171446,598.49,-0.65,-0.108488834
6/6/25,599.14,6.09,1.026894866,598.66,5.61,0.945957339,600.83,7.78,1.311862406,596.86,3.81,0.642441615
5/6/25,593.05,-2.88,-0.483278237,597.63,1.7,0.285268404,599,3.07,0.515161177,591.05,-4.88,-0.818888124
